"EVbar","dwal","eddy visocity","pbar","pressure","ubar:0","ubar:1","ubar:2","velocity:0","velocity:1","velocity:2","vortBar:0","vortBar:1","vortBar:2","vorticity:0","vorticity:1","vorticity:2","wss","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00000e+00,0.00000e+00,0.00000e+00,-1.28029e-01,-5.14982e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,6.33629e-05,8.89573e-03,-4.41092e+05,2.56533e-04,9.61123e-03,-4.40238e+05,4.79661e-11,1,0.00000e+00,1.90000e+00,0.00000e+00,0.00000e+00
6.35553e-05,6.00000e-05,5.89621e-05,-1.19832e-01,-5.36062e-02,2.39168e+01,3.59549e-04,0.00000e+00,2.43935e+01,5.14652e-04,0.00000e+00,-1.01647e-02,3.53811e+00,-2.60149e+05,-9.76894e-03,3.34517e+00,-2.48941e+05,0.00000e+00,1,6.00000e-05,1.90000e+00,6.00000e-05,0.00000e+00
1.27930e-04,1.20000e-04,1.25297e-04,-1.21262e-01,-5.91445e-02,3.25063e+01,6.28564e-04,0.00000e+00,3.22194e+01,8.69041e-04,0.00000e+00,-1.74360e-02,9.56959e-01,-7.30647e+04,-1.66057e-02,8.49887e-01,-7.00383e+04,0.00000e+00,1,1.20000e-04,1.90000e+00,1.20000e-04,0.00000e+00
1.93064e-04,1.80000e-04,1.96439e-04,-1.24189e-01,-6.58310e-02,3.56435e+01,6.23890e-04,0.00000e+00,3.53404e+01,9.21553e-04,0.00000e+00,-2.09666e-02,6.79103e-02,-3.86114e+04,-1.97842e-02,2.76903e-01,-3.95293e+04,0.00000e+00,1,1.80000e-04,1.90000e+00,1.80000e-04,0.00000e+00
2.57663e-04,2.40000e-04,2.63225e-04,-1.27294e-01,-7.12280e-02,3.75810e+01,5.61403e-04,0.00000e+00,3.73342e+01,9.10769e-04,0.00000e+00,-2.33659e-02,-3.17767e-01,-2.70258e+04,-2.20996e-02,-6.01075e-02,-2.79158e+04,0.00000e+00,1,2.40000e-04,1.90000e+00,2.40000e-04,0.00000e+00
3.22007e-04,3.00000e-04,3.28421e-04,-1.29777e-01,-7.78813e-02,3.90245e+01,4.67265e-04,0.00000e+00,3.88235e+01,8.40225e-04,0.00000e+00,-2.47598e-02,-5.50995e-01,-2.11600e+04,-2.33558e-02,-2.92323e-01,-2.18308e+04,0.00000e+00,1,3.00000e-04,1.90000e+00,3.00000e-04,0.00000e+00
3.86047e-04,3.60000e-04,3.92830e-04,-1.32223e-01,-8.25696e-02,4.01915e+01,3.99976e-04,0.00000e+00,4.00252e+01,8.06069e-04,0.00000e+00,-2.58519e-02,-7.28739e-01,-1.74903e+04,-2.45298e-02,-4.81943e-01,-1.79933e+04,0.00000e+00,1,3.60000e-04,1.90000e+00,3.60000e-04,0.00000e+00
4.49741e-04,4.20000e-04,4.56668e-04,-1.34432e-01,-8.62829e-02,4.11677e+01,3.59637e-04,0.00000e+00,4.10277e+01,7.96381e-04,0.00000e+00,-2.66373e-02,-8.73681e-01,-1.49823e+04,-2.51246e-02,-6.42876e-01,-1.53669e+04,0.00000e+00,1,4.20000e-04,1.90000e+00,4.20000e-04,0.00000e+00
5.13065e-04,4.80000e-04,5.20013e-04,-1.36594e-01,-8.99508e-02,4.20111e+01,3.32862e-04,0.00000e+00,4.18916e+01,7.74156e-04,0.00000e+00,-2.72496e-02,-9.98224e-01,-1.31333e+04,-2.57882e-02,-7.84579e-01,-1.34319e+04,0.00000e+00,1,4.80000e-04,1.90000e+00,4.80000e-04,0.00000e+00
5.76126e-04,5.40000e-04,5.83021e-04,-1.39115e-01,-9.40134e-02,4.27614e+01,3.11685e-04,0.00000e+00,4.26587e+01,7.65536e-04,0.00000e+00,-2.77080e-02,-1.11169e+00,-1.16920e+04,-2.62348e-02,-9.16264e-01,-1.19258e+04,0.00000e+00,1,5.40000e-04,1.90000e+00,5.40000e-04,0.00000e+00
6.39094e-04,6.00000e-04,6.45892e-04,-1.40582e-01,-9.78525e-02,4.34479e+01,3.46586e-04,0.00000e+00,4.33593e+01,8.18531e-04,0.00000e+00,-2.77526e-02,-1.20973e+00,-1.05140e+04,-2.59920e-02,-1.02944e+00,-1.06973e+04,0.00000e+00,1,6.00000e-04,1.90000e+00,6.00000e-04,0.00000e+00
7.01132e-04,6.60000e-04,7.07781e-04,-1.42546e-01,-9.90524e-02,4.40418e+01,3.55211e-04,0.00000e+00,4.39641e+01,8.47322e-04,0.00000e+00,-2.80245e-02,-1.29902e+00,-9.61910e+03,-2.63270e-02,-1.13453e+00,-9.76686e+03,0.00000e+00,1,6.60000e-04,1.90000e+00,6.60000e-04,0.00000e+00
7.63343e-04,7.20000e-04,7.69828e-04,-1.44427e-01,-1.02059e-01,4.46105e+01,4.13297e-04,0.00000e+00,4.45426e+01,9.24737e-04,0.00000e+00,-2.79857e-02,-1.38357e+00,-8.82106e+03,-2.62675e-02,-1.23379e+00,-8.93855e+03,0.00000e+00,1,7.20000e-04,1.90000e+00,7.20000e-04,0.00000e+00
8.24590e-04,7.80000e-04,8.30880e-04,-1.46126e-01,-1.03434e-01,4.51150e+01,4.52087e-04,0.00000e+00,4.50549e+01,9.82068e-04,0.00000e+00,-2.80416e-02,-1.45888e+00,-8.18632e+03,-2.62384e-02,-1.32251e+00,-8.28180e+03,0.00000e+00,1,7.80000e-04,1.90000e+00,7.80000e-04,0.00000e+00
8.86114e-04,8.40000e-04,8.92207e-04,-1.47721e-01,-1.07321e-01,4.56071e+01,5.50465e-04,0.00000e+00,4.55542e+01,1.08152e-03,0.00000e+00,-2.78605e-02,-1.53107e+00,-7.59888e+03,-2.58785e-02,-1.40709e+00,-7.67494e+03,0.00000e+00,1,8.40000e-04,1.90000e+00,8.40000e-04,0.00000e+00
9.46245e-04,9.00000e-04,9.52118e-04,-1.49980e-01,-1.09508e-01,4.60396e+01,5.73645e-04,0.00000e+00,4.59925e+01,1.10988e-03,0.00000e+00,-2.79301e-02,-1.59949e+00,-7.13508e+03,-2.59281e-02,-1.48835e+00,-7.19746e+03,0.00000e+00,1,9.00000e-04,1.90000e+00,9.00000e-04,0.00000e+00
1.00686e-03,9.60000e-04,1.01252e-03,-1.51145e-01,-1.12609e-01,4.64667e+01,7.14454e-04,0.00000e+00,4.64250e+01,1.24762e-03,0.00000e+00,-2.76512e-02,-1.65835e+00,-6.70010e+03,-2.55895e-02,-1.55634e+00,-6.75028e+03,0.00000e+00,1,9.60000e-04,1.90000e+00,9.60000e-04,0.00000e+00
1.06637e-03,1.02000e-03,1.07180e-03,-1.53371e-01,-1.15444e-01,4.68576e+01,7.81850e-04,0.00000e+00,4.68204e+01,1.31851e-03,0.00000e+00,-2.75381e-02,-1.71877e+00,-6.32936e+03,-2.53798e-02,-1.62748e+00,-6.37006e+03,0.00000e+00,1,1.02000e-03,1.90000e+00,1.02000e-03,0.00000e+00
1.12536e-03,1.08000e-03,1.13056e-03,-1.54680e-01,-1.17132e-01,4.72270e+01,8.79632e-04,0.00000e+00,4.71937e+01,1.42227e-03,0.00000e+00,-2.73935e-02,-1.77141e+00,-6.00162e+03,-2.51337e-02,-1.68856e+00,-6.03458e+03,0.00000e+00,1,1.08000e-03,1.90000e+00,1.08000e-03,0.00000e+00
1.18474e-03,1.14000e-03,1.18973e-03,-1.56084e-01,-1.20068e-01,4.75923e+01,1.03555e-03,0.00000e+00,4.75626e+01,1.57543e-03,0.00000e+00,-2.71015e-02,-1.82264e+00,-5.68958e+03,-2.47333e-02,-1.74760e+00,-5.71564e+03,0.00000e+00,1,1.14000e-03,1.90000e+00,1.14000e-03,0.00000e+00
1.24256e-03,1.20000e-03,1.24732e-03,-1.58175e-01,-1.22288e-01,4.79225e+01,1.11645e-03,0.00000e+00,4.78960e+01,1.66414e-03,0.00000e+00,-2.69670e-02,-1.87334e+00,-5.42981e+03,-2.45134e-02,-1.80680e+00,-5.45076e+03,0.00000e+00,1,1.20000e-03,1.90000e+00,1.20000e-03,0.00000e+00
1.29988e-03,1.26000e-03,1.30442e-03,-1.59303e-01,-1.23261e-01,4.82401e+01,1.22330e-03,0.00000e+00,4.82163e+01,1.78225e-03,0.00000e+00,-2.68322e-02,-1.91783e+00,-5.19162e+03,-2.43338e-02,-1.85802e+00,-5.20816e+03,0.00000e+00,1,1.26000e-03,1.90000e+00,1.26000e-03,0.00000e+00
