"EVbar","dwal","eddy visocity","pbar","pressure","ubar:0","ubar:1","ubar:2","velocity:0","velocity:1","velocity:2","vortBar:0","vortBar:1","vortBar:2","vorticity:0","vorticity:1","vorticity:2","wss","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.29007e-04,4.80000e-04,5.30919e-04,5.06551e-01,5.89114e-01,4.44483e+01,-2.33307e-03,0.00000e+00,4.44148e+01,-2.75594e-03,0.00000e+00,1.61788e-02,-2.35896e+00,-1.42509e+04,8.18829e-02,-2.41123e+00,-1.42369e+04,0.00000e+00,1,4.80000e-04,9.70000e-01,4.80000e-04,0.00000e+00
5.60801e-04,5.10000e-04,5.62612e-04,5.07475e-01,5.92387e-01,4.48798e+01,-2.28268e-03,0.00000e+00,4.48487e+01,-2.71482e-03,0.00000e+00,1.59325e-02,-2.41619e+00,-1.33763e+04,8.19408e-02,-2.47294e+00,-1.33477e+04,0.00000e+00,1,5.10000e-04,9.70000e-01,5.10000e-04,0.00000e+00
5.91877e-04,5.40000e-04,5.93594e-04,5.08699e-01,5.95846e-01,4.52511e+01,-2.10157e-03,0.00000e+00,4.52214e+01,-2.48300e-03,0.00000e+00,1.57263e-02,-2.45481e+00,-1.27168e+04,8.20612e-02,-2.51383e+00,-1.26810e+04,0.00000e+00,1,5.40000e-04,9.70000e-01,5.40000e-04,0.00000e+00
6.22887e-04,5.70000e-04,6.24513e-04,5.11536e-01,6.03966e-01,4.56187e+01,-1.89381e-03,0.00000e+00,4.55903e+01,-2.21896e-03,0.00000e+00,1.54112e-02,-2.49221e+00,-1.20767e+04,8.21456e-02,-2.55291e+00,-1.20345e+04,0.00000e+00,1,5.70000e-04,9.70000e-01,5.70000e-04,0.00000e+00
6.54070e-04,6.00000e-04,6.55642e-04,5.12436e-01,6.06340e-01,4.59879e+01,-1.82343e-03,0.00000e+00,4.59611e+01,-2.15808e-03,0.00000e+00,1.53077e-02,-2.54234e+00,-1.14544e+04,8.21487e-02,-2.60559e+00,-1.14063e+04,0.00000e+00,1,6.00000e-04,9.70000e-01,6.00000e-04,0.00000e+00
6.84422e-04,6.30000e-04,6.85939e-04,5.13315e-01,6.08475e-01,4.63073e+01,-1.66390e-03,0.00000e+00,4.62812e+01,-1.95615e-03,0.00000e+00,1.50259e-02,-2.57549e+00,-1.09771e+04,8.21350e-02,-2.64032e+00,-1.09271e+04,0.00000e+00,1,6.30000e-04,9.70000e-01,6.30000e-04,0.00000e+00
7.14674e-04,6.60000e-04,7.16135e-04,5.16179e-01,6.15624e-01,4.66221e+01,-1.45297e-03,0.00000e+00,4.65967e+01,-1.69627e-03,0.00000e+00,1.46046e-02,-2.60720e+00,-1.05186e+04,8.20215e-02,-2.67290e+00,-1.04671e+04,0.00000e+00,1,6.60000e-04,9.70000e-01,6.60000e-04,0.00000e+00
7.45010e-04,6.90000e-04,7.46432e-04,5.17994e-01,6.19859e-01,4.69379e+01,-1.30310e-03,0.00000e+00,4.69135e+01,-1.52929e-03,0.00000e+00,1.44487e-02,-2.64530e+00,-1.00676e+04,8.20204e-02,-2.71202e+00,-1.00146e+04,0.00000e+00,1,6.90000e-04,9.70000e-01,6.90000e-04,0.00000e+00
7.75022e-04,7.20000e-04,7.76417e-04,5.18510e-01,6.20897e-01,4.72376e+01,-1.19507e-03,0.00000e+00,4.72138e+01,-1.41006e-03,0.00000e+00,1.43538e-02,-2.68222e+00,-9.66254e+03,8.20414e-02,-2.75017e+00,-9.60890e+03,0.00000e+00,1,7.20000e-04,9.70000e-01,7.20000e-04,0.00000e+00
8.04359e-04,7.50000e-04,8.05726e-04,5.20335e-01,6.25098e-01,4.75084e+01,-1.01404e-03,0.00000e+00,4.74850e+01,-1.18504e-03,0.00000e+00,1.39133e-02,-2.70926e+00,-9.33037e+03,8.18170e-02,-2.77792e+00,-9.27754e+03,0.00000e+00,1,7.50000e-04,9.70000e-01,7.50000e-04,0.00000e+00
8.33676e-04,7.80000e-04,8.35013e-04,5.23121e-01,6.31459e-01,4.77786e+01,-8.03037e-04,0.00000e+00,4.77557e+01,-9.28389e-04,0.00000e+00,1.34180e-02,-2.73623e+00,-9.00143e+03,8.15277e-02,-2.80527e+00,-8.94939e+03,0.00000e+00,1,7.80000e-04,9.70000e-01,7.80000e-04,0.00000e+00
8.63057e-04,8.10000e-04,8.64375e-04,5.24920e-01,6.35156e-01,4.80500e+01,-6.33901e-04,0.00000e+00,4.80276e+01,-7.43004e-04,0.00000e+00,1.33168e-02,-2.76858e+00,-8.67795e+03,8.14671e-02,-2.83790e+00,-8.62657e+03,0.00000e+00,1,8.10000e-04,9.70000e-01,8.10000e-04,0.00000e+00
8.92250e-04,8.40000e-04,8.93559e-04,5.25774e-01,6.36542e-01,4.83146e+01,-5.01912e-04,0.00000e+00,4.82929e+01,-6.07813e-04,0.00000e+00,1.33744e-02,-2.80200e+00,-8.37313e+03,8.15075e-02,-2.87169e+00,-8.32254e+03,0.00000e+00,1,8.40000e-04,9.70000e-01,8.40000e-04,0.00000e+00
9.20468e-04,8.70000e-04,9.21771e-04,5.26625e-01,6.38098e-01,4.85483e+01,-3.63210e-04,0.00000e+00,4.85267e+01,-4.37804e-04,0.00000e+00,1.29413e-02,-2.82500e+00,-8.13243e+03,8.12456e-02,-2.89539e+00,-8.08355e+03,0.00000e+00,1,8.70000e-04,9.70000e-01,8.70000e-04,0.00000e+00
9.48649e-04,9.00000e-04,9.49940e-04,5.29323e-01,6.43352e-01,4.87809e+01,-1.54512e-04,0.00000e+00,4.87595e+01,-1.96534e-04,0.00000e+00,1.24140e-02,-2.84795e+00,-7.89632e+03,8.08417e-02,-2.91848e+00,-7.84907e+03,0.00000e+00,1,9.00000e-04,9.70000e-01,9.00000e-04,0.00000e+00
9.76829e-04,9.30000e-04,9.78109e-04,5.32022e-01,6.48605e-01,4.90135e+01,5.41862e-05,0.00000e+00,4.89924e+01,4.47363e-05,0.00000e+00,1.18868e-02,-2.87089e+00,-7.66021e+03,8.04378e-02,-2.94157e+00,-7.61460e+03,0.00000e+00,1,9.30000e-04,9.70000e-01,9.30000e-04,0.00000e+00
1.00508e-03,9.60000e-04,1.00636e-03,5.33337e-01,6.50466e-01,4.92478e+01,2.29857e-04,0.00000e+00,4.92272e+01,2.18914e-04,0.00000e+00,1.20788e-02,-2.90020e+00,-7.43000e+03,8.05390e-02,-2.97063e+00,-7.38574e+03,0.00000e+00,1,9.60000e-04,9.70000e-01,9.60000e-04,0.00000e+00
1.03296e-03,9.90000e-04,1.03424e-03,5.34157e-01,6.51438e-01,4.94735e+01,3.77884e-04,0.00000e+00,4.94532e+01,3.70909e-04,0.00000e+00,1.21469e-02,-2.92719e+00,-7.21532e+03,8.05776e-02,-2.99762e+00,-7.17251e+03,0.00000e+00,1,9.90000e-04,9.70000e-01,9.90000e-04,0.00000e+00
