"Cf","EVbar","Normals:0","Normals:1","Normals:2","WssX","eddy visocity","pbar","pressure","ubar:0","ubar:1","ubar:2","velocity:0","velocity:1","velocity:2","vortBar:0","vortBar:1","vortBar:2","vorticity:0","vorticity:1","vorticity:2","wss","Points:0","Points:1","Points:2"
2.69656e-02,1.50718e-06,0.00000e+00,1.00000e+00,0.00000e+00,7.58409e+01,1.50706e-06,9.36252e+00,9.13519e+00,2.20376e+00,2.28441e-04,0.00000e+00,2.20350e+00,2.79232e-04,0.00000e+00,9.38506e-04,2.64898e-01,-4.46418e+06,2.91834e-03,2.54900e-01,-4.46364e+06,0.00000e+00,1.54710e-04,5.00000e-07,-5.00000e-02
2.75601e-02,1.50050e-06,0.00000e+00,1.00000e+00,0.00000e+00,7.75127e+01,1.50098e-06,6.67248e+00,7.49194e+00,2.25321e+00,1.35529e-03,0.00000e+00,2.25468e+00,1.35176e-03,0.00000e+00,-4.79058e-03,4.38011e-01,-4.44267e+06,-3.03944e-04,4.15812e-01,-4.44072e+06,0.00000e+00,1.54710e-04,5.00000e-07,5.00000e-02
2.55856e-02,1.51008e-06,0.00000e+00,1.00000e+00,0.00000e+00,7.19594e+01,1.50973e-06,1.23240e+01,1.20749e+01,2.09062e+00,3.91230e-03,0.00000e+00,2.08957e+00,3.96737e-03,0.00000e+00,8.58161e-03,3.52187e-01,-4.26045e+06,1.30348e-02,3.31141e-01,-4.25996e+06,0.00000e+00,1.70910e-04,5.00000e-07,-5.00000e-02
2.61309e-02,1.51350e-06,0.00000e+00,1.00000e+00,0.00000e+00,7.34931e+01,1.51391e-06,1.26118e+01,1.34650e+01,2.13475e+00,1.40136e-03,0.00000e+00,2.13612e+00,1.27699e-03,0.00000e+00,1.87040e-02,4.44065e-01,-4.20556e+06,2.48441e-02,4.16110e-01,-4.20390e+06,0.00000e+00,1.70910e-04,5.00000e-07,5.00000e-02
2.44234e-02,1.43959e-06,0.00000e+00,1.00000e+00,0.00000e+00,6.86907e+01,1.43946e-06,8.23733e+00,7.99324e+00,2.00386e+00,3.12413e-05,0.00000e+00,2.00331e+00,5.92161e-05,0.00000e+00,-1.62373e-03,1.20475e-01,-4.01988e+06,6.71726e-04,1.08912e-01,-4.01953e+06,0.00000e+00,1.88674e-04,5.00000e-07,-5.00000e-02
2.47264e-02,1.46091e-06,0.00000e+00,1.00000e+00,0.00000e+00,6.95429e+01,1.46137e-06,7.71162e+00,8.52531e+00,2.02620e+00,1.42180e-04,0.00000e+00,2.02760e+00,7.73222e-05,0.00000e+00,-8.79007e-04,2.78257e-01,-4.03548e+06,3.83324e-03,2.57162e-01,-4.03385e+06,0.00000e+00,1.88674e-04,5.00000e-07,5.00000e-02
2.34382e-02,1.44806e-06,0.00000e+00,1.00000e+00,0.00000e+00,6.59200e+01,1.44789e-06,9.28722e+00,9.02523e+00,1.92208e+00,1.05583e-04,0.00000e+00,1.92087e+00,1.07240e-04,0.00000e+00,-6.71602e-03,-9.60445e-02,-3.79754e+06,-3.13429e-03,-1.13154e-01,-3.79718e+06,0.00000e+00,2.08249e-04,5.00000e-07,-5.00000e-02
2.33503e-02,1.45150e-06,0.00000e+00,1.00000e+00,0.00000e+00,6.56728e+01,1.45190e-06,1.11700e+01,1.19961e+01,1.91449e+00,3.84452e-03,0.00000e+00,1.91589e+00,3.79273e-03,0.00000e+00,-2.94989e-02,5.06025e-02,-3.86306e+06,-2.49410e-02,2.68658e-02,-3.86186e+06,0.00000e+00,2.08249e-04,5.00000e-07,5.00000e-02
2.24441e-02,1.41282e-06,0.00000e+00,1.00000e+00,0.00000e+00,6.31239e+01,1.41277e-06,8.84578e+00,8.56597e+00,1.84435e+00,1.40846e-03,0.00000e+00,1.84408e+00,1.41383e-03,0.00000e+00,9.14163e-03,-1.58347e-01,-3.66897e+06,1.11754e-02,-1.66971e-01,-3.66841e+06,0.00000e+00,2.29912e-04,5.00000e-07,-5.00000e-02
2.21331e-02,1.40077e-06,0.00000e+00,1.00000e+00,0.00000e+00,6.22495e+01,1.40112e-06,1.25811e+01,1.34220e+01,1.82008e+00,5.70264e-05,0.00000e+00,1.82161e+00,-2.75486e-05,0.00000e+00,7.33645e-04,-2.98422e-02,-3.63404e+06,4.97141e-03,-4.73700e-02,-3.63237e+06,0.00000e+00,2.29912e-04,5.00000e-07,5.00000e-02
